Input,Output
"Светофор на входе (выходе) или маневровый отключен. При нажатии на кнопку данного сигнала стрелка нужного цвета и направления светится на табло. Установленный маршрут является правильным. Охранное положение стрелок учтено по таблице зависимостей, если они имеются. В маршруте имеется ложная занятость рельсовых цепей или зафиксирована потеря контроля над положением стрелок.",Устранить выявленные неисправности
"Не открывается входной (выходной) или маневровый светофор. При активации кнопки данного сигнала на табло отображается стрелка нужного цвета и направления. Правильная установка маршрута подтверждена. Учитывается охранное положение стрелок, если они находятся в таблице зависимостей. В маршруте есть ложная занятость рельсовых цепей или наблюдается потеря контроля положения стрелок.",Устранить выявленные неисправности
Входной (выходной) или маневровый светофор продолжает оставаться закрытым. При нажатии кнопки данного сигнала стрелка нужного цвета и направления отображается на табло. Верный маршрут установлен. Учитывается охранное положение стрелок (при наличии в таблице зависимостей). В маршруте зафиксирована ложная занятость рельсовых цепей или наблюдается потеря контроля над положением стрелок.,Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления появляется на табло. Установленный маршрут является допустимым. Охранное положение стрелок учитывается (при наличии в таблице зависимостей). В маршруте присутствует ложная занятость рельсовых цепей или зафиксирована потеря контроля положения стрелок.,Устранить выявленные неисправности
"Светофор на входе (выходе) или маневровый не открывается. На табло загорается стрелка нужного цвета и направления, когда нажимаешь кнопку этого сигнала. Установленный маршрут правильно сформирован. Учитывается охраняющее положение стрелок (при наличии в таблице зависимостей). В маршруте есть ложная занятость рельсовых цепей или присутствует потеря контроля положения стрелок.",Устранить выявленные неисправности
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления загорается на табло. Правильная установка маршрута подтверждена. Охранное положение стрелок учтено, если они указаны в таблице зависимостей. В маршруте существует ложная занятость рельсовых цепей или имеется потеря контроля положения стрелок.",Устранить выявленные неисправности
"Входной (выходной) или маневровый светофор не открывается. Стрелка нужного цвета и направления отображается на табло, когда нажимаешь кнопку данного сигнала. Установленный маршрут правильный. Учитывается охранное положение стрелок (если они находятся в таблице зависимостей). В маршруте зафиксирована ложная занятость рельсовых цепей или потеря контроля над положением стрелок.",Устранить выявленные неисправности
"Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка необходимого цвета и направления становится видимой на табло. Установленный маршрут совпадает с правильным. Охранное положение стрелок учтено, если они есть в таблице зависимостей. В маршруте наблюдается ложная занятость рельсовых цепей или наблюдается потеря контроля над положением стрелок.",Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки данного сигнала на табло появляется стрелка нужного цвета и направления. Установленный маршрут правильный. Учитывается охранное положение стрелок (при наличии в таблице зависимостей). В маршруте обнаруживается ложная занятость рельсовых цепей или потеря контроля коренного положения стрелок.,Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый светофор. При активации кнопки данного сигнала появляется стрелка нужного цвета и направления на табло. Правильная установка маршрута обеспечена. Учтено охранное положение стрелок (при их наличии в таблице зависимостей). В маршруте зафиксирована ложная занятость рельсовых цепей или наблюдается потеря контроля над положением стрелок.,Устранить выявленные неисправности
"Входной (выходной) или маневровый светофор не функционирует. Нажатие кнопки данного сигнала приводит к появлению стрелки нужного цвета и направления на табло. Установленный маршрут обеспечивается корректно. Охранное положение стрелок учитывается, когда они указаны в таблице зависимостей. В маршруте наблюдается ложная занятость рельсовых цепей или потеря контроля над положением стрелок.",Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки сигнала стрелка соответствующего цвета и направления загорится на табло. Установленный маршрут — правильный. Учитывается охранное положение стрелок (если они есть в таблице зависимостей). В маршруте есть ложная занятость рельсовых цепей или наблюдается потеря контроля положения стрелок.,Устранить выявленные неисправности
"Не открывается входной (выходной) или маневровый светловой рельс. При активации кнопки данного сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут является корректным. Учитывается охранное положение стрелок в зависимости от таблицы, если они присутствуют. В маршруте фиксируется ложная занятость рельсовых цепей или сохраняется потеря контроля против положения стрелок.",Устранить выявленные неисправности
"Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки данного сигнала стрелка необходимого цвета и направления появляется на табло. Верная установка маршрута обеспечена. Учитывается охранное положение стрелок, если они упоминаются в таблице зависимостей. В маршруте есть ложная занятость рельсовых цепей или наблюдается потеря контроля положения стрелок.",Устранить выявленные неисправности
Не удается открыть входной (выходной) или маневровый светофор. При активации кнопки данного сигнала на табло появляется стрелка необходимого цвета и направления. Установленный маршрут имеется правильный. Учитывается охранное положение стрелок (когда они оказываются в таблице зависимостей). В маршруте имеется ложная занятость рельсовых цепей или потеря контроля положения стрелок.,Устранить выявленные неисправности
"Светофор на входе (выходе) или маневровый не функционирует. Когда нажимаешь кнопку данного сигнала, стрелка нужного цвета и направления загорится на табло. Верный маршрут установлен. Охранное положение стрелок учитывается (если они указаны в таблице зависимостей). В маршруте присутствует ложная занятость рельсовых цепей или идет потеря контроля над положением стрелок.",Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка показываемого цвета и направления загорается на табло. Правильная установка маршрута подтверждена. Учитывается охраняющая позиция стрелок (если они указаны в таблице зависимостей). В маршруте наблюдается ложная занятость рельсовых цепей или наблюдается потеря контроля на положении стрелок.,Устранить выявленные неисправности
Входной (выходной) или маневровый светофор не открывается. При активации кнопки данного сигнала стрелка показанного цвета и направления появляется на табло. Установленный маршрут является вариантами правильным. Охранное положение стрелок учитывается (при наличии в таблице зависимостей). В маршруте присутствует ложная занятость рельсовых цепей или идет потеря контроля положения стрелок.,Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки этого сигнала стрелка покажет необходимый цвет и направление на табло. Правильная установка маршрута подтверждена. Учитывается охранное положение стрелок (если они присутствуют в таблице зависимостей). В маршруте имеется ложная занятость рельсовых цепей или наблюдается потеря контроля относительно положения стрелок.,Устранить выявленные неисправности
"Не открывается входной (выходной) или маневровый светофор. При активации кнопки данного сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут является корректным. Учитывается охранное положение стрелок, если они указаны в таблице зависимостей. В маршруте зафиксирована ложная занятость рельсовых цепей или наблюдается потеря контроля положения стрелок.",Устранить выявленные неисправности
"Входной (выходной) или маневровый светофор не открывается. Когда нажимаешь кнопку данного сигнала, стрелка нужного цвета и направления оказывается на табло. Правильный маршрут установлен. Охранное положение стрелок учитывается (если они в таблице зависимостей). В маршруте есть ложная занятость рельсовых цепей или наблюдается потеря контроля над положением стрелок.",Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки для сигнала стрелка нужного цвета и направления загорается на табло. Установленный маршрут считается правильным. Учитывается охранное положение стрелок по наличию в таблице зависимостей. В маршруте зафиксирована ложная занятость рельсовых цепей или наблюдается потеря контроля положения стрелок.,Устранить выявленные неисправности
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут соответствует правильному. Учтено охранное положение стрелок, если они предназначены в таблице зависимостей. В маршруте есть ложная занятость рельсовых цепей или потеря контроля над состоянием стрелок.",Устранить выявленные неисправности
"Не удается открыть входной (выходной) или маневровый светофор. На табло загорается стрелка нужного цвета и направления, когда нажимается кнопка данного сигнала. Установленный маршрут является корректным. Учитывается охранное положение стрелок (если они имеются в таблице зависимостей). В маршруте имеется ложная занятость рельсовых цепей или идет потеря контроля положения стрелок.",Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не работает. При активации кнопки данного сигнала стрелка необходимого цвета и направления загорится на табло. Верную установку маршрута подтверждает. Учитывается охранное положение стрелок (если они представлены в таблице зависимостей). В маршруте фиксируется ложная занятость рельсовых цепей или зафиксирована потеря контроля над положением стрелок.,Устранить выявленные неисправности
Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки данного сигнала стрелка нужного цвета и направления показана на табло. Установленный маршрут правильный. Учитывается охранное положение стрелок (если они представлены в таблице зависимостей). В маршруте фиксируется ложная занятость рельсовых цепей или потеря контроля положения стрелок.,Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый светофор. При активации кнопки данного сигнала стрелка необходимого цвета и направления загорится на табло. Установленный маршрут правильный. Учитывается охранное положение стрелок (если они указаны в таблице зависимостей). В маршруте зафиксирована ложная занятость рельсовых цепей или наблюдается потеря контроля над положением стрелок.,Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки данного сигнала стрелка нужного цвета и направления появляется на табло. Установленный маршрут является соответствующим. Учитывается охранное положение стрелок (если они представлены в таблице зависимостей). В маршруте наблюдается ложная занятость рельсовых цепей или идет потеря контроля положения стрелок.,Устранить выявленные неисправности
Входной (выходной) или маневровый светофор не открывается. При активации кнопки данного сигнала стрелка нужного цвета и направления загорится на табло. Установленный маршрут правильный. учтено охранное положение стрелок (если они представлены в таблице зависимостей). В маршруте наблюдается ложная занятость рельсовых цепей или состоится потеря контроля положения стрелок.,Устранить выявленные неисправности
"Не открывается ни входной, ни выходной, ни маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления находится на табло. Установленный маршрут корректный. Учитывается охраняющее положение стрелок (при их наличии в таблице зависимостей). В маршруте зафиксирована ложная занятость рельсовых цепей или идет потеря контроля над положением стрелок.",Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый продолжает оставаться закрытым. Нажатие кнопки данного сигнала приводит к появлению стрелки нужного цвета и направления на табло. Установленный маршрут является правильным. Учитывается охранное положение стрелок (если они представлены в таблице зависимостей). В маршруте может быть ложная занятость рельсовых цепей или теряется контроль над положением стрелок.,Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый светофор. При активации кнопки этого сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут правильный. Учитывается охранное положение стрелок (при наличии в таблице зависимостей). В маршруте имеет место ложная занятость рельсовых цепей или наблюдается потеря контроля над положением стрелок.,Устранить выявленные неисправности
Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки данного сигнала стрелка соответствующего цвета и направления появляется на табло. Установленный маршрут является верным. Учитывается охранное положение стрелок (если они указаны в таблице зависимостей). В маршруте фиксируется ложная занятость рельсовых цепей или потеря контроля над положением стрелок.,Устранить выявленные неисправности
Светофор на входе (выходе) или маневровый не открывается. На табло LED диод стрелка нужного цвета и направления появляется при нажатии кнопки данного сигнала. Установленный маршрут считается правильным. Учитывается охранное положение стрелок (если они в таблице зависимостей). В маршруте имеются ложные занятости рельсовых цепей или идет потеря контроля положения стрелок.,Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый световой сигнал. При нажатии кнопки данного сигнала появляется стрелка нужного цвета и направления на табло. Верная установка маршрута подтверждена. Охранное положение стрелок учитывается (если они есть в таблице зависимостей). В маршруте фиксируется ложная занятость рельсовых цепей или потеря контроля над положением стрелок.,Устранить выявленные неисправности
"Входной (выходной) или маневровый светофор не открывается. Когда нажимаешь кнопку данного сигнала, на табло загорается стрелка нужного цвета и направления. Установленный маршрут является неправильным. Охранное положение стрелок, если они есть в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Свеча светофора на входе (выходе) или маневровом режиме не открывается. При нажатии кнопки данного сигнала на табло появляется стрелка соответствующего цвета и направления. Маршрут установлен неверно. Охранное состояние стрелок (если они присутствуют в таблице зависимостей) не учтено.,Требуется правильно установить маршрут
Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления загорается на табло. Установленный маршрут является ошибочным. Охранное положение стрелок (если они находятся в таблице зависимостей) не учитывается.,Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор постепенно закрыт. Когда нажимаешь кнопку данного сигнала, на табло появляется стрелка нужного цвета и направления. Маршрут установлен неверно. Учтено охранное положение стрелок (при наличии в таблице зависимостей) не было.",Требуется правильно установить маршрут
"Не открывается ни входной, ни выходной, ни маневровый светофор. При нажатии кнопки данного сигнала появляется стрелка нужного цвета и направления на табло. Установленный маршрут неправилен. Охранное положение стрелок (если оно указано в таблице зависимостей) не учтено.",Требуется правильно установить маршрут
"Светофор на входе (выходе) или в маневровом режиме не включается. Когда нажимаешь кнопку данного сигнала, стрелка нужного цвета и направления загорится на табло. Маршрут установлен неправильно. Охранное положение стрелок (при наличии в таблице зависимостей) не учтено.",Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не открывается. На табло загорается стрелка нужного цвета и направления, когда нажимается кнопка данного сигнала. Установленный маршрут является неверным. Охранное положение стрелок не учтено, если они присутствуют в таблице зависимостей.",Требуется правильно установить маршрут
"Светофор на входе (выходе) или маневровый не открывается. При активации кнопки данного сигнала стрелка необходимого цвета и направления светится на табло. Уставленный маршрут неверен. Не учитывается охранное положение стрелок, если они указаны в таблице зависимостей.",Требуется правильно установить маршрут
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки сигнала загорается стрелка нужного цвета и направления на табло. Установленный маршрут неправильный. Охранное положение стрелок, при их наличии в таблице зависимостей, не было учтено.",Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не срабатывает. Когда нажимаешь кнопку данного сигнала, стрелка необходимого цвета и направления светится на табло. Маршрут установлен некорректно. Охранное положение стрелок (при наличии в таблице зависимостей) не учтено.",Требуется правильно установить маршрут
Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки данного сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут является неправильным. Охранное положение стрелок (если они имеются в таблице зависимостей) не учитывается.,Требуется правильно установить маршрут
Не удается открыть входной (выходной) или маневровый светофор. При нажатии на кнопку данного сигнала стрелка нужного цвета и направления появится на табло. Установленный маршрут не верный. Охранное положение стрелок при наличии в таблице зависимостей не было учтено.,Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не открывается. На табло появляется стрелка необходимого цвета и направления, когда нажимается кнопка данного сигнала. Маршрут установлен неверно. Охранное положение стрелок, если они указаны в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Светофор на входе (выходе) или маневровый не включается. На табло при активации кнопки данного сигнала загорается стрелка нужного цвета и направления. Установленный маршрут является неправильным. Не учтено охранное положение стрелок (если они есть в таблице зависимостей).,Требуется правильно установить маршрут
"Входной (выходной) и маневровый светофор не открываются. Нажимая кнопку данного сигнала, стрелка нужного цвета и направления загорается на табло. Установленный маршрут неверен. Учтено охранное положение стрелок (если они имеются в таблице зависимостей) не было.",Требуется правильно установить маршрут
"Не открывается входной (выходной) или маневровый светофор. Когда нажимаешь на кнопку данного сигнала, стрелка нужного цвета и направления появляется на табло. Маршрут установлен неправильно. Охранное положение стрелок при наличии в таблице зависимостей не учтено.",Требуется правильно установить маршрут
Светофор на входе (выходе) или маневровый не открывается. При активации кнопки данного сигнала стрелка соответствующего цвета и направления отображается на табло. Установленный маршрут неправильный. Не учтено охранное положение стрелок (если они в таблице зависимостей).,Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не открывается. На табло появляется стрелка нужного цвета и направления, когда нажимается кнопка данного сигнала. Установленный маршрут является верным. Охранное положение стрелок, если они указаны в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления загорается на табло. Установленный маршрут неправильный. Охранное положение стрелок (при наличии в таблице зависимостей) не учтено.,Требуется правильно установить маршрут
Светофор на входе (выходе) или маневровый светофор не работает. При активации кнопки данного сигнала стрелка показанного цвета и направления появляется на табло. Маршрут установлен неверно. Не учтено охранное положение стрелок (если они есть в таблице зависимостей).,Требуется правильно установить маршрут
"Не открываются ни входной, ни выходной, ни маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления загорается на табло. Установленный маршрут является неверным. Охранное положение стрелок (при наличии в таблице зависимостей) не учтено.",Требуется правильно установить маршрут
"Светофор на входе (выходе) или маневровый не открывается. Когда нажимаешь кнопку данного сигнала, стрелка нужного цвета и направления появляется на табло. Установленный маршрут неправилен. Не учтено охранное положение стрелок (если они указаны в таблице зависимостей).",Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не функционирует. При нажатии кнопки данного сигнала стрелка нужного цвета и направления загорится на табло. Установленный маршрут является ошибочным. Охранное положение стрелок, если они имеются в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Не удается открыть входной (выходной) или маневровый светофор. Стрелка нужного цвета и направления появляется на табло при нажатии кнопки данного сигнала. Установленный маршрут неправильный. Охранное положение стрелок (если имеются в таблице зависимостей) не учтено.,Требуется правильно установить маршрут
Светофор на входе (выходе) или маневровый не функционирует. При нажатии кнопки данного сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут неправилен. Охранное положение стрелок (при наличии в таблице зависимостей) не учтено.,Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не открывается. При нажатии на кнопку данного сигнала стрелка показанного цвета и направления загорается на табло. Маршрут установлен неправильно. Охранное положение стрелок, если они указаны в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Не открывается входной (выходной) или маневровый светофор. Стрелка необходимого цвета и направления оказывается на табло при активации кнопки данного сигнала. Установленный маршрут неверный. Охранное положение стрелок (при необходимости в таблице зависимостей) не учтено.,Требуется правильно установить маршрут
"Светофор на входе (выходе) или в маневровом режиме не открывается. Стрелка соответствующего цвета и направления появляется на табло, когда нажимаешь кнопку данного сигнала. Установленный маршрут является ошибочным. Не учтено охранное положение стрелок (если они присутствуют в таблице зависимостей).",Требуется правильно установить маршрут
"Входной (выходной) или маневровый светофор не открывается. На табло стрелка нужного цвета и направления загорается при нажатии кнопки данного сигнала. Установленный маршрут неправильный. Охранное положение стрелок, если они находятся в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Не удается открыть входной (выходной) или маневровый светофор. При активации кнопки данного сигнала стрелка нужного цвета и направления появляется на табло. Установленный маршрут является неверным. Охранное положение стрелок (при наличии в таблице зависимостей) не учтено.,Требуется правильно установить маршрут
"Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки данного сигнала загорается стрелка ожидаемого цвета и направления на табло. Установленный маршрут не соответствует правильному. Охранное положение стрелок, если они указаны в таблице зависимостей, не учтено.",Требуется правильно установить маршрут
Не открывается входной (выходной) или маневровый светофор. При активации кнопки данного сигнала на табло появляется стрелка нужного цвета и направления. Установленный маршрут ошибочен. Не учтено охранное положение стрелок (когда они имеются в таблице зависимостей).,Требуется правильно установить маршрут
